anime_id,name,genres,episodes,sypnopsis
40052,Great Pretender,"Action, Adventure, Mystery, Comedy, Psychological",23,"series of unfortunate events has led Makoto ""Edamame"" Edamura to adopt the life of crime—pickpocketing and scamming others for a living. However, after swindling a seemingly clueless tourist, Makoto discovers that he was the one tricked and, to make matters worse, the police are now after him. While making his escape, he runs into the tourist once again, who turns out to be a fellow con man named Laurent Thierry, and ends up following him to Los Angeles. In an attempt to defend his self-proclaimed title of ""Japan's Greatest Swindler,"" Makoto challenges his rival to determine the better scammer. Accepting the competition, Laurent drops them off outside a huge mansion and claims that their target will be the biggest mafia boss on the West Coast. Jumping from city to city, Great Pretender follows the endeavors of Makoto alongside the cunning Laurent and his colorful associates in the world of international high-stakes fraud. Soon, Makoto realizes that he got more than what he bargained for as his self-declared skills are continually put to the test."
37208,Mo Dao Zu Shi,"Action, Adventure, Mystery, Historical, Supernatural",15,"Xian: the state of immortality that all cultivators strive to achieve. However, there is a dark energy that lies underneath—the forbidden Mo Dao, or demonic path. Through an unfortunate series of tragedies, this is the path that cultivator Wei Wuxian experiments with during his teachings. His rise in power is accompanied by chaos and destruction, but his reign of terror comes to an abrupt end when the cultivation clans overpower him and he is killed by his closest ally. Thirteen years later, Wei Wuxian is reincarnated in the body of a lunatic and reunited with Lan Wangji, a former classmate of his. This marks the beginning of a supernatural mystery that plagues the clans and threatens to disrupt their everyday life. Mo Dao Zu Shi follows these two men on their mission to unravel the mysteries of the spiritual world. Fighting demons, ghosts, and even other cultivators, the two end up forming a bond that neither of them had ever expected."
40861,Hakumei no Tsubasa,"Action, Adventure, Comedy, Kids, Fantasy",7,"Galar is a region where Pokemon battles have developed into a cultural sensation. Over the span of seven episodes, Pokemon: Twilight Wings will show in detail the dreams of Galar's residents, the realities they face, the challenges they must overcome and the conflicts they must resolve. In addition to these new stories, fans can expect to see a variety of Pokemon originally discovered in the Galar region appearing in the capsule series. (Source: Press Release)"
35120,Devilman: Crybaby,"Action, Dementia, Demons, Horror, Supernatural",10,"Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman. Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons. Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones."
28149,Nihon Animator Mihonichi,"Action, Dementia, Ecchi, Fantasy, Mecha, Military, Music, School, Sci-Fi, Space, Supernatural",35,"Nihon Animator Mihonichi is a collaborative series of standalone anime shorts with the support of various directors and studios. Aiming to expose new animators to a worldwide audience, these small works offer a glimpse into the future of the industry, featuring rising talents, cutting-edge techniques, and experimental aesthetic designs."
38409,Cike Wu Liuqi,"Action, Mystery, Comedy, Super Power, Drama, Romance, Martial Arts",10,"To the casual eye, the amnesiac bounty hunter Wu Liuqi looks quite intimidating. With his deadly telekinetic scissor techniques and his ability to seamlessly transform into anything, one would not expect his modest demeanor. In fact, Wu is quite terrible at his job. Often times the freelancer can be found botching an assassination or targeting the wrong person. While his failures could be due to his subpar skills, it usually boils down to him being a normal kid, with a heart unsuited for his line of work. Accompanied by his feathered friend Dai Bo, Wu is on a simple quest to regain his memories. Although his inconspicuous day job as a hairdresser and his after-hours occupation are simply a means for him to repay debt, his various ventures seem to intertwine with his pursuit to recover his lost past."
40784,Wu Liuqi Zhi Zui Qiang Fa Xing Shi,"Action, Mystery, Comedy, Super Power, Drama, Martial Arts",10,"Seeking to recover his memories, a scissor-wielding hairdresser, bungling quasi-assassin stumbles into a struggle for power among two feuding factions. (Source: IMDb)"
40730,Tian Guan Ci Fu,"Action, Adventure, Historical, Supernatural, Drama",11,"The heavens shake, the thunder rumbles, and Xie Lian appears with an apologetic smile—again! Eight hundred years prior, he was a beloved martial god, known as the Crown Prince of Xianle. Now, he ascends to the heavenly realm for the third time, but simply as a pitiful scrap-collecting god with no followers behind him. On his first mission, Xie Lian finds himself alone in the dark moonlit night. There, a gentle man dressed in red guides him through the forest. However, as abruptly as he appeared, the man suddenly dissipates into a swarm of silver butterflies. Xie Lian later learns that this mysterious stranger was none other than Hua Cheng, the Crimson Rain Sought Flower, a Ghost King feared by both demons and gods alike. But before Xie Lian can figure out why Hua Cheng would help a Heavenly Official like himself, he meets San Lang. A young man possessing great knowledge on not only the Ghost King, but also the now forgotten Crown Prince, San Lang decides to accompany Xie Lian on his journey of unveiling the mysteries of the past."
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,"Slice of Life, Comedy, Supernatural, School, Shounen",6,"Kusuo Saiki is a high school student who possesses a wide range of psychic abilities. While many may believe these abilities to be a gift, to Kusuo, they are a curse as he must fight strange odds in order to try to live a normal life. Forced to use his psychic powers to protect his secret or to make up for his father's incompetence at work, will Saiki eventually come to realize how his powers can actually help his friends and family?"
42498,Douluo Dalu: Xiaowu Juebie,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",Unknown,Fifth part of Douluo Dalu .
42497,Douluo Dalu: Qian Hua Xi Jin,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",13,Fourth part of Douluo Dalu .
37822,Douluo Dalu: Jingying Sai,"Action, Adventure, Historical, Supernatural, Martial Arts, Fantasy",52,Second part of Douluo Dalu .
38250,Xiao Lu He Xiao Lan,"Game, Sci-Fi, Slice of Life, Comedy, Drama, Magic, School, Shounen Ai",72,"""I've been holding a few words back for a long time — I like you!"" ""Beryl and Sapphire"" is a popular manhua created by artist Ocarina. Here includes protagonists with the most random names in history — the mild-mannered Beryl (Green) and the easily-embarrassed Sapphire (Blue). At times the closest of friends, at others the worst of enemies… In this donghua where each episode is set in a different world, how would they encounter each other time and again?? Only angst? Too painful! Nothing but fluff? Too sugary! Come watch B&S, the show where you'll never guess the ending… (Source: Guodong Subs)"
41168,Nakitai Watashi wa Neko wo Kaburu,"Comedy, Supernatural, Drama, Romance, School",1,"o Sasaki is an energetic high school girl who comes from a broken family consisting of her unconfident father and an overly invested stepmother, whose attempts at connecting with Miyo come across as bothersome. Seeing Kento Hinode as a refuge from all her personal issues, she can't help herself from forcing her unorthodox demonstrations of love onto her crush. While Miyo is unable to get Kento's attention as herself, she manages to succeed by interacting with him in the form of a white cat, affectionately nicknamed ""Tarou"" by Kento. But Miyo soon realizes that she can't help Kento with the various problems she overhears in her cat form and is now caught between two tough choices. Will she continue her relationship with him as a cat, or will she reveal her identity and risk what they have, in order to help him as her human self?"
41094,Xian Wang de Richang Shenghuo,"Adventure, Slice of Life, Comedy, Demons, Fantasy, School",15,"s a cultivation genius who has achieved a new realm every two years since he was a year old, Wang Ling is a near-invincible existence with prowess far beyond his control. But now that he’s sixteen, he faces his greatest battle yet – Senior High School. With one challenge after another popping up, his plans for a low-key high school life seem further and further away… (Source: Novel Updates)"
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"Action, Comedy, School, Shounen",8,"Shorts of Ansatsu Kyoushitsu (TV) 2nd Season which adapt chapters of the manga which are not in the TV series. The adapted chapters are 78 (""Takebayashi no Jikan"") and 79 (""Shihaisha no Jikan, Ni Jikanme""), which are published in the ninth manga volume."
36160,Yaoguai Mingdan 2nd Season,"Action, Comedy, Romance, Fantasy",21,No synopsis information has been added to this title. Help improve our database by adding a synopsis here .
38410,Cike Wu Liuqi Fanwai,"Action, Mystery, Comedy, Super Power, Drama, Romance, Martial Arts",4,Extra episodes of Killer Seven.
42496,Douluo Dalu: Hao Tian Yang Wei,"Action, Adventure, Historical, Supernatural, Martial Arts, Fantasy",13,Third part of Douluo Dalu .
36038,Net-juu no Susume,"Game, Comedy, Romance",10,"For the first time since graduating high school, 30-year-old Moriko Morioka is unemployed—and she couldn't be happier. Having quit her long-standing job of over 11 years, Moriko quickly turns to online games to pass her now-plentiful free time, reinventing herself as the handsome and dashing male hero ""Hayashi"" in the MMO Fruits de Mer. With the pesky societal obligations of the real world out of the way, she blissfully dives headfirst into the realm of the game, where she promptly meets the kind and adorable healer Lily. Befriending each other almost instantly, the two become inseparable just as Moriko herself becomes more and more engrossed in her new ""life"" as Hayashi. Eventually, Moriko adopts the reclusive lifestyle in its entirety, venturing out from the safety of her apartment only when absolutely necessary. Meanwhile, unbeknownst to Moriko, a timid 28-year-old corporate worker named Yuuta Sakurai has also logged onto Fruits de Mer from the other side of town. Coincidentally bumping into each other at the convenience store one night, both write off their meeting as no more than just another awkward encounter with a stranger—however, fate has more in store for them than they think."
